"id","prefLabel","displayLabel","definition","status","altLabel","labelTypes","notes","noteTypes","examples","collections","schemes","paths","tags"
"omc:002C1","30","30","3.0 - Uses channels L, C, R","published","30","omcToken","","","","coll:omc-0025F","","30",""
"omc:002C2","40","40","4.0 - Uses channels L, C, R, S","published","40","omcToken","","","","coll:omc-0025F","","40",""
"omc:002C3","50","50","5.0 - Uses channels L, C, R, Ls, Rs","published","50","omcToken","","","","coll:omc-0025F","","50",""
"omc:002AE","51","51","5.1 - Uses channels: L, C, R, LS, RS, LFE","published","51","omcToken","","","","coll:omc-0025F","","51",""
"omc:002C7","51EX","51EX","5.1 EX - Uses channels L, C, R, Lst, Rst, LFE","published","51EX","omcToken","","","","coll:omc-0025F","","51EX",""
"omc:002C4","60","60","6.0 - Uses channels L, C, R, Ls, Rs, Cs","published","60","omcToken","","","","coll:omc-0025F","","60",""
"omc:002B1","61","61","6.1 - Uses channels: L, R, C, Lss, Rss, Cs, LFE","published","61","omcToken","","","","coll:omc-0025F","","61",""
"omc:002C5","70","70","7.0 DS - Uses channels L, C, R, Lss, Rss, Rls, Rrs","published","70","omcToken","","","","coll:omc-0025F","","70",""
"omc:002AF","71","71","7.1DS - Uses channels: L, C, R, Lss, Rss, Lrs, Rrs, LFE","published","71","omcToken","","","","coll:omc-0025F","","71",""
"omc:00280","ADR","ADR","Automated Dialog Replacement audio channel","published","ADR","omcToken","","","","coll:omc-002AC","","ADR",""
"vmc:c-00041b","Aerial","aerial","Anything involving work with equipment that flies.  ","published","aerial","omcToken","","","","coll:omc-00115","","aerial",""
"omc:001A7","albedo","albedo","","published","albedo","omcToken","","","","coll:omc-00198","","albedo",""
"omc:0019F","ambientOcclusion","ambientOcclusion","","published","ambientOcclusion","omcToken","","","","coll:omc-00198","","ambientOcclusion",""
"vmc:c-00000F","Animated Storyboard","artwork.animatedStoryboard","A moving image produced from the individual images of a Storyboard.","published","animatedStoryboard","omcToken","","","","coll:omc-0002B","","artwork.animatedStoryboard",""
"vmc:c-000031","Animation Sequence","sequence.animation","A unit of work made up of an ordered series of Animation shots.","published","animation","omcToken","Shots with both live action and animation would be a VFX Shot","editorial","","coll:omc-000FA","","sequence.animation",""
"vmc:c-000030","Animation Shot","shot.animation","A Shot that has been identified as requiring Animation work.","published","animation","omcToken","","","","coll:omc-0002B","","shot.animation",""
"omc:0028B","ANN","ANN","Announcer: audio content information.","published","ANN","omcToken","","","","coll:omc-002AD","","ANN",""
"vmc:c-000442","Artwork","artwork","Illustrations, photographs, or other materials that illustrate some aspect of a Creative Work.","published","artwork","omcToken","","","","coll:omc-0002B","","artwork",""
"vmc:c-00004D","Asset Function","specialAction","Describes the use or purpose of an Asset within the production process.","published","specialAction","omcToken","","","","coll:omc-00115","","specialAction",""
"omc:00267","assetGroup","assetGroup","Signifies this Asset represents and Asset Group.","published","assetGroup","omcToken","","","","coll:omc-00033","","assetGroup",""
"omc:001B6","atmosphere","gasOrLiquid.atmosphere","","published","atmosphere","omcToken","","","","coll:omc-001B1","","gasOrLiquid.atmosphere",""
"vmc:c-000041","Audio","audio | digital.audio","A representation of sound.","published","audio","omcToken","","","","coll:omc-0002B | coll:omc-00033","","audio | digital.audio",""
"vmc:c-000447","Audio Channel","audio.channel","A distinct collection of sequenced audio samples that are intended for delivery to a single loudspeaker or other reproduction device.","published","channel","omcToken","","","","coll:omc-0002B","","audio.channel",""
"vmc:c-00044e","Audio Composition","audio","A Composition consisting of audio assets, Audio Compositions, and an Audio Session.","published","audio","omcToken","","","","coll:omc-000FA","","audio",""
"vmc:c-000449","Audio Mix","audio.mix","A combination of multiple Audio Assets and Compositions into a particular format.","published","mix","omcToken","","","","coll:omc-0002B","","audio.mix",""
"vmc:c-000446","Audio Object","audio.object","A segment of audio essence with associated metadata describing positional and other properties which may vary with time.","published","object","omcToken","","","","coll:omc-0002B","","audio.object",""
"vmc:c-000448","Audio Track","audio.track","A temporally continuous sequence of related samples.","published","track","omcToken","","","","coll:omc-0002B","","audio.track",""
"omc:00265","audioSession","audioSession","An Asset that represents the state of the audio mixing and editing process.","published","audioSession","omcToken","","","","coll:omc-0002B","","audioSession",""
"vmc:c-000377","Audiovisual","digital.audioVisual | physical.audioVisual","A Moving Image with Audio synchronized to the images.","published","audioVisual","omcToken","","","","coll:omc-00033","","digital.audioVisual | physical.audioVisual",""
"omc:00176","basisCurve","basisCurve","","published","basisCurve","omcToken","","","","coll:omc-00175","","basisCurve",""
"vmc:c-000452","Bed","audio.bed","The Channel component of an immersive STEM or Printmaster.","published","bed","omcToken","","","","coll:omc-000FA","","audio.bed",""
"omc:00286","BG","BG","Backgrounds audio channel","published","BG","omcToken","","","","coll:omc-002AC","","BG",""
"omc:001A1","bump","bump","","published","bump","omcToken","","","","coll:omc-00198","","bump",""
"omc:00293","C","C","Center channel","published","C","omcToken","","","","coll:omc-0025B","","C",""
"omc:0006A","calibration","capture.calibration","Captured calibration data from a device.","published","calibration","omcToken","","","","coll:omc-0002B","","capture.calibration",""
"vmc:c-0003BF","Camera Metadata","cameraMetadata","Capture-specific details and information about the Camera itself.","published","cameraMetadata","omcToken","","","","coll:omc-0002B","","cameraMetadata",""
"vmc:c-0003B3","Camera Roll","capture.roll","Identifier for a group of events captured together on the same camera and recording media.","published","roll","omcToken","","","","coll:omc-0002B","","capture.roll",""
"omc:0006C","cameraProxy","capture.cameraProxy","A proxy directly generated by the camera.","published","cameraProxy","omcToken","","","","coll:omc-0002B","","capture.cameraProxy",""
"omc:00177","capsule","capsule","","published","capsule","omcToken","","","","coll:omc-00175","","capsule",""
"vmc:c-000357","Capture","capture","The result of recording any event by any means.","published","capture","omcToken","","","","coll:omc-0002B","","capture",""
"omc:0028A","CAST","CAST","Cast: audio content information.","published","CAST","omcToken","","","","coll:omc-002AD","","CAST",""
"omc:00072","cdl","color.cdl","Color Decision List, describes suggested correct color for each shot.","published","cdl","omcToken","","","","coll:omc-0002B","","color.cdl",""
"vmc:c-0003fd","CG Assembly","cgAssembly","A Composition that includes a collection of related CG Assets and CG Assemblies.","published","cgAssembly","omcToken","","","","coll:omc-000FA","","cgAssembly",""
"vmc:c-00043f","CG Model","cgModel","A generic use for Geometry.","published","cgModel","omcToken","","","","coll:omc-0002B","","cgModel",""
"omc:002A2","Ch","Ch","Center Height channel","published","Ch","omcToken","","","","coll:omc-0025B","","Ch",""
"vmc:c-00001A","Character","character","A sentient entity (usually a person but not always) in the script whose specific identity is consequential to the narrative. A Character is generally identified by a specific name.","published","character","omcToken","","","","coll:omc-000A9","","character",""
"vmc:c-000419","Choreography","choreography","The creation, arrangement, and management of dance. ","published","choreography","omcToken","","","","coll:omc-00115","","choreography",""
"omc:0028F","CL","CL","Cloth: audio content information.","published","CL","omcToken","","","","coll:omc-002AD","","CL",""
"omc:0027D","CM","CM","Recorded Commentary audio channel","published","CM","omcToken","","","","coll:omc-002AC","","CM",""
"omc:00070","color","color","Asset containing information about color.","published","color","omcToken","","","","coll:omc-0002B","","color",""
"vmc:c-000032","Color Sequence","sequence.color","A sequence of shots with color grading characteristics linked to creative intent.","published","color","omcToken","","","","coll:omc-000FA","","sequence.color",""
"vmc:c-00034D","Color Space","color.colorSpace","A predefined encoding for communicating color appearance.","published","colorSpace","omcToken","","","","coll:omc-0002B","","color.colorSpace",""
"vmc:c-0003ea","Color Space Configuration","configuration.colorSpace","A configuration file for a color management system.","published","colorSpace","omcToken","","","","coll:omc-0002B","","configuration.colorSpace",""
"vmc:c-0003fb","Composite Material","compositeMaterial","A Material represented by a Composition. ","published","compositeMaterial","omcToken","","","","coll:omc-000FA","","compositeMaterial",""
"vmc:c-00001B","Concept","concept","An exploratory representation of something from the narrative.","published","concept","omcToken","Concept covers anything that is used or created as input to the final depiction of a narrative element in the Creative Work, including storyboards, concept art, costume ideas, possible filming locations, and so on.","editorial","","coll:omc-000B3","","concept",""
"vmc:c-00001C","Concept Art","artwork.conceptArt","Images that illustrate ideas for potential depictions of elements of the creative intent.","published","conceptArt","omcToken","","","","coll:omc-0002B","","artwork.conceptArt",""
"omc:00178","cone","cone","","published","cone","omcToken","","","","coll:omc-00175","","cone",""
"omc:00089","configuration","configuration","Asset that contains information about the configuration of components of the workflow.","published","configuration","omcToken","","","","coll:omc-0002B","","configuration",""
"omc:00082","costume","costume","An Asset used to depict the Narrative Wardrobe of a Character.","published","costume","omcToken","","","","coll:omc-0002B","","costume",""
"omc:001C1","cotton","textile.cotton","","published","cotton","omcToken","","","","coll:omc-001B1","","textile.cotton",""
"omc:00283","CRD","CRD","Crowd audio channel","published","CRD","omcToken","","","","coll:omc-002AC","","CRD",""
"vmc:c-000010","Creative Reference Material","creativeReferenceMaterial","Images or other material used to inform the artistic aspects of creation of a production, to help convey a tone or look, etc.","published","creativeReferenceMaterial","omcToken","","","","coll:omc-0002B","","creativeReferenceMaterial",""
"vmc:c-00001F","Creative Work","creativeWork","A uniquely identified production.","published","Title | Production | Program | Show | creativeWork","alternate | alternate | alternate | alternate | omcToken","","","","coll:omc-001FB","","creativeWork",""
"omc:0029D","Cs","Cs","Center Surround channel","published","Cs","omcToken","","","","coll:omc-0025B","","Cs",""
"omc:0028C","CTR","CTR","Commentator: audio content information.","published","CTR","omcToken","","","","coll:omc-002AD","","CTR",""
"omc:00179","cube","cube","","published","cube","omcToken","","","","coll:omc-00175","","cube",""
"omc:001AE","cubeFaceEnvironment","cubeFaceEnvironment","","published","cubeFaceEnvironment","omcToken","","","","coll:omc-00199","","cubeFaceEnvironment",""
